timeStampScheduled,timeStampSent,timeStampStart,timeStampStop,originalTimeStampSent,timeZoneOffset,deltaUTC,stress,anxiety
1740607536,1740607538,1740607902,1740607910,1740603933,-21600,0,50,30
1741038925,1741038928,1741038958,1741038966,1741037125,-21600,0,53,48
1741213604,1741213606,1741213617,1741213626,1741210001,-21600,0,31,67
1742159522,1742159525,1742160098,1742160115,1742157722,-21600,0,35,17
1742336356,1742336358,1742336868,1742336872,1742334556,-21600,0,36,41
1742419486,1742419489,1742419794,1742419798,0,-21600,0,32,27
1744058166,1744058169,1744058430,1744058435,1744056366,-21600,0,82,79
1744148413,1744148415,1744148420,1744148424,0,-21600,0,84,76
1744231240,1744231242,1744231250,1744231254,1744229440,-21600,0,59,55
1744412104,1744412106,1744414401,1744414407,1744404899,-21600,0,53,59
1744493799,1744493801,1744494340,1744494345,1744491999,-21600,0,50,54
1744665573,1744665574,1744665587,1744665592,1744661970,-21600,0,53,64
1744752850,1744752853,1744752864,1744752869,1744747444,-21600,0,57,59
1745969125,1745969128,1745970615,1745970639,1745963720,-21600,0,93,84
