timeStampScheduled,timeStampSent,timeStampStart,timeStampStop,originalTimeStampSent,timeZoneOffset,deltaUTC,stress,anxiety
1739825448,1739825449,1739825822,1739825842,0,-21600,0,60,68
1739912022,1739912024,1739912033,1739912043,1739910222,-21600,0,58,25
1740001636,1740001639,1740002317,1740002323,0,-21600,0,65,70
1740088244,1740088245,1740089903,1740089908,1740084643,-21600,0,87,100
1740171966,1740171968,1740173634,1740173644,0,-21600,0,24,23
1740265614,1740265615,1740266395,1740266404,1740260212,-21600,0,13,0
1740347707,1740347710,1740348015,1740348022,1740344106,-21600,0,9,3
1740429557,1740429558,1740429577,1740429583,1740427757,-21600,0,58,92
1740520555,1740520559,1740520918,1740520923,0,-21600,0,61,86
1740607135,1740607136,1740607574,1740607581,0,-21600,0,65,55
1740694510,1740694511,1740694904,1740694913,1740692710,-21600,-1,61,90
1740779068,1740779069,1740780248,1740780254,0,-21600,0,22,22
1740863847,1740863849,1740864563,1740864570,0,-21600,0,16,13
1740950605,1740950606,1740951584,1740951591,1740947002,-21600,-1,50,23
1741126082,1741126083,1741126180,1741126186,1741122479,-21600,-1,34,67
1741295820,1741295822,1741295930,1741295944,0,-21600,0,51,82
1741382470,1741382471,1741384113,1741384121,1741380670,-21600,-1,68,92
1741466234,1741466235,1741467833,1741467843,0,-21600,0,13,31
1741558187,1741558191,1741558412,1741558418,1741556387,-21600,0,51,23
1741641596,1741641599,1741641800,1741641806,0,-21600,0,8,15
1741728076,1741728079,1741728325,1741728333,0,-21600,0,50,21
1741903696,1741903697,1741904836,1741904840,1741901896,-21600,-1,10,64
1741989398,1741989401,1741991089,1741991095,0,-21600,0,8,5
1742155397,1742155400,1742156161,1742156166,0,-21600,0,11,29
1742251516,1742251519,1742252604,1742252610,1742246114,-21600,0,85,69
1742506691,1742506694,1742508403,1742508411,0,-21600,0,4,19
1742850610,1742850613,1742850624,1742850630,1742848810,-21600,0,24,72
1743029282,1743029283,1743031084,1743031092,1743025678,-21600,0,14,5
1743375276,1743375277,1743375304,1743375310,1743368070,-21600,0,60,92
1743546920,1743546921,1743549650,1743549655,1743539712,-21600,0,12,8
1743720434,1743720437,1743721102,1743721107,1743715028,-21600,0,67,89
1744154283,1744154287,1744154773,1744154778,1744148881,-21600,0,11,64
1744407581,1744407582,1744415090,1744415100,1744405781,-14400,0,77,32
1744498971,1744498972,1744500379,1744500467,1744493567,-14400,0,14,38
1744930019,1744930020,1744924698,1744924712,1744926417,-21600,0,15,3
1745363240,1745363243,1745356051,1745356076,1745357837,-21600,0,19,8
1745882933,1745882936,1745883817,1745883821,1745877527,-21600,0,14,72
1745967188,1745967191,1745967386,1745967393,1745961782,-21600,0,86,100
1746226186,1746226189,1746228554,1746228571,1746218976,-21600,0,49,58
1746570962,1746570963,1746573116,1746573122,1746563758,-21600,0,72,100
1746654175,1746654178,1746654208,1746654222,0,-21600,0,66,86
1746741583,1746741585,1746741642,1746741646,1746739783,-21600,0,17,9
1746827527,1746827528,1746828033,1746828040,1746823926,-21600,0,17,3
1746913438,1746913440,1746914360,1746914366,1746911638,-21600,0,5,13
1746997491,1746997493,1746998883,1746998889,1746995691,-21600,0,2,21
1747085205,1747085208,1747085271,1747085276,1747083405,-21600,0,12,27
1747166415,1747166419,1747167705,1747167709,0,-21600,0,31,5
1747260954,1747260956,1747262425,1747262429,1747259154,-21600,0,19,67
1747342104,1747342105,1747342750,1747342762,0,-21600,0,15,67
1747432225,1747432228,1747432954,1747432958,0,-21600,0,10,57
1747691680,1747691681,1747692883,1747692893,1747688078,-21600,0,21,13
1747782186,1747782189,1747782775,1747782784,1747774980,-21600,0,12,10
1747868262,1747868264,1747868751,1747868756,1747864661,-21600,0,20,5
1748036881,1748036885,1748038272,1748038280,1748033278,-21600,0,20,13
1748126046,1748126047,1748126684,1748126694,1748118837,-21600,0,2,0
1748209889,1748209892,1748210749,1748210753,1748208089,-21600,0,9,2
1748293791,1748293793,1748294568,1748294578,0,-21600,0,7,15
1748386396,1748386398,1748387019,1748387024,1748382793,-21600,0,6,65
1748471174,1748471177,1748471525,1748471543,1748469374,-21600,0,31,53
1748556913,1748556914,1748559338,1748559343,1748549705,-21600,0,61,87
1748645469,1748645471,1748645898,1748645907,1748641866,-21600,0,7,43
1748727263,1748727265,1748727537,1748727544,1748725463,-21600,-1,7,57
1748898842,1748898844,1748899156,1748899166,0,-21600,0,43,20
1748987255,1748987258,1748988132,1748988138,1748985455,-21600,0,23,5
1749154856,1749154857,1749154876,1749154879,0,-21600,0,9,32
1749249065,1749249067,1749252277,1749252291,1749241856,-21600,-1,43,23
1749333015,1749333017,1749333654,1749333660,1749331215,-21600,-1,8,20
1749504399,1749504403,1749505129,1749505137,1749502599,-21600,0,31,4
1749848956,1749848959,1749849284,1749849288,0,-21600,0,19,64
1750024011,1750024013,1750025334,1750025340,1750020407,-21600,0,84,99
1750364698,1750364699,1750365943,1750365948,0,-21600,0,5,28
